id,exercise_name,category,equipment,primary_muscle_group,secondary_muscle_groups,exercise_type
77,Chin-Up,Calisthenics,Bodyweight,Lats,Biceps/Core,Compound
78,Wide Grip Pull-Up,Calisthenics,Bodyweight,Lats,Rear Deltoid/Core,Compound
79,Muscle-Up,Calisthenics,Bodyweight,Lats,Chest/Triceps/Core,Compound
80,Push-Up,Calisthenics,Bodyweight,Chest,Shoulders/Triceps/Core,Compound
81,Wide Push-Up,Calisthenics,Bodyweight,Chest,Shoulders/Triceps,Compound
82,Diamond Push-Up,Calisthenics,Bodyweight,Triceps,Chest/Shoulders,Compound
83,Decline Push-Up,Calisthenics,Bodyweight,Upper Chest,Shoulders/Triceps,Compound
84,Pike Push-Up,Calisthenics,Bodyweight,Shoulders,Triceps/Upper Chest,Compound
85,Archer Push-Up,Calisthenics,Bodyweight,Chest,Shoulders/Triceps,Compound
86,Handstand Push-Up,Calisthenics,Bodyweight,Shoulders,Triceps/Upper Chest,Compound
87,Dip,Calisthenics,Bodyweight,Chest,Triceps/Shoulders,Compound
88,Tricep Dip (Bench),Calisthenics,Bodyweight,Triceps,Chest/Shoulders,Compound
89,Inverted Row,Calisthenics,Bodyweight,Upper Back,Biceps/Rear Deltoid,Compound
90,Body Saw,Calisthenics,Bodyweight,Core,Shoulders/Glutes,Compound
91,Plank,Calisthenics,Bodyweight,Core,Shoulders/Glutes,Isometric
92,Side Plank,Calisthenics,Bodyweight,Obliques,Core/Hip Abductors,Isometric
93,Hollow Body Hold,Calisthenics,Bodyweight,Abs,Core,Isometric
94,L-Sit,Calisthenics,Bodyweight,Abs,Hip Flexors/Triceps,Isometric
95,Front Lever,Calisthenics,Bodyweight,Lats,Core/Shoulders,Isometric
96,Back Lever,Calisthenics,Bodyweight,Chest,Shoulders/Core,Isometric
97,Human Flag,Calisthenics,Bodyweight,Core,Shoulders/Lats,Isometric
98,Pistol Squat,Calisthenics,Bodyweight,Quadriceps,Glutes/Hamstrings/Core,Compound
99,Bulgarian Split Squat,Weighted,Bodyweight/Dumbbells,Quadriceps,Glutes/Hamstrings,Compound
100,Bodyweight Squat,Calisthenics,Bodyweight,Quadriceps,Glutes/Hamstrings,Compound
101,Jump Squat,Calisthenics,Bodyweight,Quadriceps,Glutes/Calves,Compound
102,Walking Lunge,Calisthenics,Bodyweight,Quadriceps,Glutes/Hamstrings,Compound
103,Reverse Lunge,Calisthenics,Bodyweight,Quadriceps,Glutes/Hamstrings,Compound
104,Glute Bridge,Calisthenics,Bodyweight,Glutes,Hamstrings/Core,Compound
105,Single Leg Glute Bridge,Calisthenics,Bodyweight,Glutes,Hamstrings/Core,Compound
106,Donkey Kick,Calisthenics,Bodyweight,Glutes,Hamstrings/Core,Isolation
107,Fire Hydrant,Calisthenics,Bodyweight,Glutes,Hip Abductors,Isolation
108,Clamshell,Calisthenics,Bodyweight,Glutes,Hip Abductors,Isolation
109,Bodyweight Hip Thrust,Calisthenics,Bodyweight,Glutes,Hamstrings/Core,Compound
110,Nordic Curl,Weighted,Bodyweight/Partner,Hamstrings,Glutes,Compound
111,Sit-Up,Calisthenics,Bodyweight,Abs,Hip Flexors,Isolation
112,Crunch,Calisthenics,Bodyweight,Abs,Obliques,Isolation
113,Bicycle Crunch,Calisthenics,Bodyweight,Abs,Obliques,Isolation
114,Leg Raise,Calisthenics,Bodyweight,Abs,Hip Flexors,Isolation
115,Hanging Leg Raise,Calisthenics,Bar,Abs,Hip Flexors/Core,Isolation
116,Hanging Knee Raise,Calisthenics,Bar,Abs,Hip Flexors,Isolation
117,Dragon Flag,Calisthenics,Bench,Core,Abs/Shoulders,Compound
118,Ab Wheel Rollout,Weighted,Ab Wheel,Abs,Core/Shoulders,Compound
119,Russian Twist,Calisthenics,Bodyweight,Obliques,Abs,Isolation
120,V-Up,Calisthenics,Bodyweight,Abs,Hip Flexors,Isolation
121,Toe Touch,Calisthenics,Bodyweight,Abs,Hamstrings,Isolation
122,Mountain Climber,Calisthenics,Bodyweight,Core,Shoulders/Hip Flexors,Compound
123,Burpee,Calisthenics,Bodyweight,Full Body,Chest/Shoulders/Core/Legs,Compound
124,Kettlebell Swing,Weighted,Kettlebell,Glutes,Hamstrings/Core/Shoulders,Compound
125,Kettlebell Goblet Squat,Weighted,Kettlebell,Quadriceps,Glutes/Core,Compound
126,Kettlebell Clean,Weighted,Kettlebell,Full Body,Hamstrings/Glutes/Shoulders,Compound
127,Kettlebell Snatch,Weighted,Kettlebell,Full Body,Shoulders/Hamstrings/Core,Compound
128,Kettlebell Turkish Get-Up,Weighted,Kettlebell,Full Body,Core/Shoulders/Glutes,Compound
129,Kettlebell Press,Weighted,Kettlebell,Shoulders,Triceps/Core,Compound
130,Kettlebell Row,Weighted,Kettlebell,Upper Back,Biceps/Core,Compound
131,Kettlebell Deadlift,Weighted,Kettlebell,Hamstrings,Glutes/Lower Back,Compound
132,Kettlebell Halo,Weighted,Kettlebell,Shoulders,Core/Upper Back,Isolation
133,EZ Bar Curl,Weighted,EZ Bar,Biceps,Forearms,Isolation
134,EZ Bar Skull Crusher,Weighted,EZ Bar,Triceps,Shoulders,Isolation
135,EZ Bar Overhead Extension,Weighted,EZ Bar,Triceps,Shoulders,Isolation
136,Preacher Curl,Weighted,Machine/Barbell,Biceps,Forearms,Isolation
137,Resistance Band Squat,Weighted,Resistance Band,Quadriceps,Glutes/Hamstrings,Compound
138,Resistance Band Row,Weighted,Resistance Band,Upper Back,Biceps/Rear Deltoid,Compound
139,Resistance Band Pull Apart,Weighted,Resistance Band,Rear Deltoid,Traps,Isolation
140,Resistance Band Curl,Weighted,Resistance Band,Biceps,Forearms,Isolation
141,Resistance Band Tricep Pushdown,Weighted,Resistance Band,Triceps,Shoulders,Isolation
142,Resistance Band Lateral Walk,Weighted,Resistance Band,Glutes,Hip Abductors,Isolation
143,Resistance Band Hip Thrust,Weighted,Resistance Band,Glutes,Hamstrings/Core,Compound
144,Dumbbell Zottman Curl,Weighted,Dumbbells,Biceps,Forearms,Isolation
145,Dumbbell Spider Curl,Weighted,Dumbbells,Biceps,Forearms,Isolation
146,Hyperextension (Back Extension),Weighted,GHD/Bench,Lower Back,Glutes/Hamstrings,Isolation
147,Farmer's Walk,Weighted,Dumbbells/Kettlebells,Forearms,Traps/Core/Shoulders,Compound
148,Sled Push,Weighted,Sled,Quadriceps,Glutes/Hamstrings/Core,Compound
149,Battle Ropes,Weighted,Battle Ropes,Shoulders,Core/Arms,Compound
150,Box Jump,Weighted,Plyo Box,Quadriceps,Glutes/Calves,Compound
